date,price,volume,vix,dxy,hashrate,difficulty,fng,active_addresses,tx_count,fees_btc,funding_mean,funding_abs,ret,hash_growth,dxy_chg,vix_chg,vol_chg,addr_growth,tx_growth,fees_growth,fng_scaled,hash_ma30,hash_ma60,hash_ribbon,ret_lag1,hash_growth_lag1,dxy_chg_lag1,vix_chg_lag1,vol_chg_lag1,fng_scaled_lag1,hash_ribbon_lag1,addr_growth_lag1,tx_growth_lag1,fees_growth_lag1,funding_mean_lag1,funding_abs_lag1
2021-07-14,32822.34765625,21376531210,16.3299999237061,93.5800018310547,121378279.418938,14363025673660,21,817900,235584,24.24152574,-1.45333333333333e-06,7.69e-05,0.00367259983643109,0.223143551314205,0.00149715979681986,-0.0472435174238721,0.111513936329111,0.0133544390844129,0.0353084321453157,-0.25304200852543,-0.58,99333339.4481268,121994139.990888,1,-0.0137820864258007,0.0763729787845762,0,0.0570897414269846,-0.240581002307337,-0.6,1,-0.0381955170879156,0.00959684998625576,0.0591859756372517,6.684e-05,6.684e-05
2021-07-15,31780.73046875,21300524237,17.0100002288818,93.629997253418,91390704.5036712,14363025673660,20,828844,224713,22.47964079,2.231e-05,5.48633333333333e-05,-0.0322494683568433,-0.283768173130643,0.000534110611573269,0.0407975175531252,-0.00356196333444103,0.0132918630145387,-0.047243299971651,-0.0723567888419616,-0.6,98052921.6464773,120778169.566251,1,0.00367259983643109,0.223143551314205,0.00149715979681986,-0.0472435174238721,0.111513936329111,-0.58,1,0.0133544390844129,0.0353084321453157,-0.25304200852543,-1.45333333333333e-06,7.69e-05
2021-07-16,31421.5390625,23699476918,18.4500007629395,93.4400024414063,107098481.84024,14363025673660,22,764392,223179,17.43069111,-1.45033333333333e-05,6.23566666666667e-05,-0.0113665308584867,0.158605030176641,-0.00203127040839313,0.0812629919747794,0.106721292448817,-0.0809511105830438,-0.00684986178878333,-0.242116426126148,-0.56,97560326.9337631,120052257.833309,1,-0.0322494683568433,-0.283768173130643,0.000534110611573269,0.0407975175531252,-0.00356196333444103,-0.6,1,0.0132918630145387,-0.047243299971651,-0.0723567888419616,2.231e-05,5.48633333333333e-05
2021-07-17,31533.068359375,18895018942,18.4500007629395,93.4400024414063,101997588.094405,14348541098817.1,15,640355,181727,12.47773765,2.674e-05,5.56933333333333e-05,0.00354316921734643,-0.0487996353206626,0,0,-0.226554637638671,-0.177057783110998,-0.205467557062534,-0.312978008884349,-0.7,96666500.7323526,119677104.882585,1,-0.0113665308584867,0.158605030176641,-0.00203127040839313,0.0812629919747794,0.106721292448817,-0.56,1,-0.0809511105830438,-0.00684986178878333,-0.242116426126148,-1.45033333333333e-05,6.23566666666667e-05
2021-07-18,31796.810546875,18787986667,18.4500007629395,93.4400024414063,97872242.0886884,13672594272814,19,651828,163158,12.23553791,5.18866666666667e-05,8.14466666666667e-05,0.00832920311317587,-0.0412861908508013,0,0,-0.00568068077898332,0.0177579858851953,-0.107785878217621,-0.0181337834351889,-0.62,95833335.8807055,118714417.977025,1,0.00354316921734643,-0.0487996353206626,0,0,-0.226554637638671,-0.7,1,-0.177057783110998,-0.205467557062534,-0.312978008884349,2.674e-05,5.56933333333333e-05
2021-07-19,30817.83203125,20434789545,22.5,93.3399963378906,115543619.132479,13672594272814,24,845474,228590,19.32263102,-1.85233333333333e-05,3.97433333333333e-05,-0.0312725029887115,0.165985137474259,-0.00107084392039614,0.198450897372104,0.0840211597016705,0.260116342009477,0.337209195029548,0.428829615814037,-0.52,96282822.0220235,118316018.679994,1,0.00832920311317587,-0.0412861908508013,0,0,-0.00568068077898332,-0.62,1,0.0177579858851953,-0.107785878217621,-0.0181337834351889,5.18866666666667e-05,8.14466666666667e-05
2021-07-20,29807.34765625,23148267245,19.7299995422363,93.0999984741211,82919538.4362499,13672594272814,19,822257,228207,17.31679808,-0.000157316666666667,0.000157316666666667,-0.0333385557342112,-0.331777392317001,-0.00257453339424085,-0.131375012377255,0.124681110491768,-0.0278443851758343,-0.00167688672588184,-0.103916526981187,-0.62,95578781.1790381,117415386.959738,1,-0.0312725029887115,0.165985137474259,-0.00107084392039614,0.198450897372104,0.0840211597016705,-0.52,1,0.260116342009477,0.337209195029548,0.428829615814037,-1.85233333333333e-05,3.97433333333333e-05
2021-07-21,32110.693359375,28203024559,17.9099998474121,93.0999984741211,98551910.4365265,13672594272814,10,815589,237007,14.85813128,-0.000314406666666667,0.000314406666666667,0.0744341723569324,0.172712697687317,0,-0.0967810892802032,0.197509297355197,-0.00814243670994763,0.0378364020586304,-0.144136183390702,-0.8,95395819.4027286,116650788.007682,1,-0.0333385557342112,-0.331777392317001,-0.00257453339424085,-0.131375012377255,0.124681110491768,-0.62,1,-0.0278443851758343,-0.00167688672588184,-0.103916526981187,-0.000157316666666667,0.000157316666666667
2021-07-22,32313.10546875,19555230518,17.6900005340576,92.8499984741211,103989257.219231,13672594272814,21,780869,223683,13.57207142,-4.50833333333333e-05,6.33233333333333e-05,0.0062837888821683,0.0537041789718593,-0.00268889652843551,-0.012359669191421,-0.366186429732871,-0.0435030949931647,-0.0578595542645886,-0.0845756029727225,-0.58,95856505.9135128,115914558.119436,1,0.0744341723569324,0.172712697687317,0,-0.0967810892802032,0.197509297355197,-0.8,1,-0.00814243670994763,0.0378364020586304,-0.144136183390702,-0.000314406666666667,0.000314406666666667
2021-07-23,33581.55078125,22552046192,17.2000007629395,92.2699966430664,91755226.9581454,13672594272814,23,803246,234138,19.43425167,-5.877e-05,6.10633333333334e-05,0.0385039422719053,-0.125163142954005,-0.0062662461560814,-0.0280901101851416,0.142583005728611,0.0282535804419712,0.0456806145182931,0.338105716016378,-0.54,95579103.2767821,114829169.834178,1,0.0062837888821683,0.0537041789718593,-0.00268889652843551,-0.012359669191421,-0.366186429732871,-0.58,1,-0.0435030949931647,-0.0578595542645886,-0.0845756029727225,-4.50833333333333e-05,6.33233333333333e-05
